id,message,userId,taskId,isRead,updated_at,created_at
91,"Artūrs pārvietoja projektu ""Irina - Peldētāju Polo"" no ""Presējam"" uz ""Ikšķile""",joud2zyvb3wgvxlrgahougzz,146,true,2025-12-12T13:10:48.000Z,2025-08-28T13:42:31.000Z
92,"Artūrs pārvietoja projektu ""HK Ogre Smashers"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,108,true,2025-12-12T13:10:48.000Z,2025-08-28T13:42:42.000Z
93,"Artūrs pārvietoja projektu ""Vīksna Jaunais"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,153,true,2025-12-12T13:10:48.000Z,2025-09-01T12:36:40.000Z
94,"Artūrs pārvietoja projektu ""Roņi, volejbols"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,127,true,2025-12-12T13:10:48.000Z,2025-09-01T12:36:48.000Z
95,"Artūrs pārvietoja projektu ""HK Jenoti"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,160,true,2025-12-12T13:10:48.000Z,2025-09-02T10:26:46.000Z
96,"Artūrs pārvietoja projektu ""Hypeworld"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,140,true,2025-12-12T13:10:48.000Z,2025-09-02T10:26:49.000Z
97,"Artūrs pārvietoja projektu ""Šautriņas Vienradzis papildus krekli"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,178,true,2025-12-12T13:10:48.000Z,2025-09-02T11:06:50.000Z
98,"Kaspars pārvietoja projektu ""HK Ogre Smashers"" no ""Presējam"" uz ""Ikšķile""",boaj3cdrucdxjbeirocwa2qo,108,true,2026-01-15T07:21:15.000Z,2025-09-02T11:32:11.000Z
99,"Artūrs pārvietoja projektu ""Šautriņas Vienradzis papildus krekli"" no ""Uz druku"" uz ""Ikšķile""",joud2zyvb3wgvxlrgahougzz,178,true,2025-12-12T13:10:48.000Z,2025-09-03T13:46:51.000Z
100,"Artūrs pārvietoja projektu ""Hypeworld"" no ""Presējam"" uz ""Vladislavs""",joud2zyvb3wgvxlrgahougzz,140,true,2025-12-12T13:10:48.000Z,2025-09-03T13:46:59.000Z
101,"Artūrs pārvietoja projektu ""Roņi, volejbols"" no ""Presējam"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,127,true,2025-12-12T13:10:48.000Z,2025-09-03T13:47:02.000Z
102,"Artūrs pārvietoja projektu ""Vīksna Jaunais"" no ""Presējam"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,153,true,2025-12-12T13:10:48.000Z,2025-09-03T13:56:59.000Z
103,"Artūrs pārvietoja projektu ""FK Melnis"" no ""Artūrs"" uz ""Parādnieki""",joud2zyvb3wgvxlrgahougzz,144,true,2025-12-12T13:10:48.000Z,2025-09-08T10:17:13.000Z
104,"Artūrs pārvietoja projektu ""Rēzeknes Lapseņu Trani"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,194,true,2025-12-12T13:10:48.000Z,2025-09-08T13:17:38.000Z
105,"Artūrs pārvietoja projektu ""Cruisers BK"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,186,true,2025-12-12T13:10:48.000Z,2025-09-09T10:38:25.000Z
106,"Artūrs pārvietoja projektu ""Black sotkr extra "" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,189,true,2025-12-12T13:10:48.000Z,2025-09-09T12:29:22.000Z
107,"Artūrs pārvietoja projektu ""Skolas Krekli"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,182,true,2025-12-12T13:10:48.000Z,2025-09-10T07:11:32.000Z
108,"Artūrs pārvietoja projektu ""Cruisers U18 Boys formas 2025 sezona"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,197,true,2025-12-12T13:10:48.000Z,2025-09-10T08:22:10.000Z
109,"Artūrs pārvietoja projektu ""Limbažu Novads  - PII VILNĪTIS"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,196,true,2025-12-12T13:10:48.000Z,2025-09-10T12:42:06.000Z
110,"Artūrs pārvietoja projektu ""BK Tactical Angels"" no ""Presējam"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,179,true,2025-12-12T13:10:48.000Z,2025-09-10T13:13:04.000Z
111,"Artūrs pārvietoja projektu ""Black sotkr extra "" no ""Uz druku"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,189,true,2025-12-12T13:10:48.000Z,2025-09-12T07:53:42.000Z
112,"Artūrs pārvietoja projektu ""JDS"" no ""Vladislavs"" uz ""Ikšķile""",joud2zyvb3wgvxlrgahougzz,198,true,2025-12-12T13:10:48.000Z,2025-09-15T13:58:37.000Z
113,"Artūrs pārvietoja projektu ""aIZKRAUKLE FORMA"" no ""Uz druku"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,188,true,2025-12-12T13:10:48.000Z,2025-09-15T13:59:09.000Z
114,"Artūrs rediģēja projektu: ""BK Let It Rain""",joud2zyvb3wgvxlrgahougzz,201,true,2025-12-12T13:10:48.000Z,2025-09-15T14:01:16.000Z
115,"Artūrs rediģēja projektu: ""BK Skvardrons Papildinājums""",joud2zyvb3wgvxlrgahougzz,202,true,2025-12-12T13:10:48.000Z,2025-09-15T14:01:31.000Z
116,"Artūrs rediģēja projektu: ""BK Yauda""",joud2zyvb3wgvxlrgahougzz,199,true,2025-12-12T13:10:48.000Z,2025-09-15T14:01:42.000Z
117,"Artūrs pārvietoja projektu ""BK Let It Rain"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,201,true,2025-12-12T13:10:48.000Z,2025-09-16T08:56:34.000Z
118,"Artūrs pārvietoja projektu ""BK Yauda"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,199,true,2025-12-12T13:10:48.000Z,2025-09-16T09:27:07.000Z
119,"Artūrs pārvietoja projektu ""HK Iron"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,200,true,2025-12-12T13:10:48.000Z,2025-09-16T09:51:07.000Z
120,"Artūrs pārvietoja projektu ""BK Skvardrons Papildinājums"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,202,true,2025-12-12T13:10:48.000Z,2025-09-16T10:08:24.000Z
121,"Artūrs pārvietoja projektu ""Kings And Queens 2025 Komanda plus apģērbs"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,138,true,2025-12-12T13:10:48.000Z,2025-09-16T10:08:28.000Z
122,"Artūrs pārvietoja projektu ""Limbažu Disku Golfs"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,203,true,2025-12-12T13:10:48.000Z,2025-09-16T10:39:43.000Z
123,"Artūrs pārvietoja projektu ""Kings And Queens 2025 Komanda plus apģērbs"" no ""Presējam"" uz ""Vladislavs""",joud2zyvb3wgvxlrgahougzz,138,true,2025-12-12T13:10:48.000Z,2025-09-17T13:34:13.000Z
124,"Artūrs pārvietoja projektu ""BK Let It Rain"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,201,true,2025-12-12T13:10:48.000Z,2025-09-17T13:34:19.000Z
125,"Artūrs pārvietoja projektu ""Limbažu Disku Golfs"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,203,true,2025-12-12T13:10:48.000Z,2025-09-17T13:34:24.000Z
126,"Artūrs rediģēja projektu: ""HK Ledus Ēnas""",joud2zyvb3wgvxlrgahougzz,110,true,2025-12-12T13:10:48.000Z,2025-09-17T13:51:27.000Z
127,"Artūrs pārvietoja projektu ""HK Ogre Smashers - PAPILDINĀJUMS"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,217,true,2025-12-12T13:10:48.000Z,2025-09-18T08:07:18.000Z
128,"Artūrs pārvietoja projektu ""FDT basis"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,191,true,2025-12-12T13:10:48.000Z,2025-09-19T09:50:14.000Z
129,"Artūrs pārvietoja projektu ""Loja Džemperi un T-krekli"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,187,true,2025-12-12T13:10:48.000Z,2025-09-23T08:34:32.000Z
130,"Artūrs pārvietoja projektu ""BK AIZKRAUKLES KRAUKLĪŠI"" no ""Artūrs"" uz ""Darbs""",joud2zyvb3wgvxlrgahougzz,224,true,2025-12-12T13:10:48.000Z,2025-09-23T13:52:49.000Z
131,"Artūrs pārvietoja projektu ""Skvadroni 2"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,223,true,2025-12-12T13:10:48.000Z,2025-09-24T08:17:10.000Z
132,"Artūrs pārvietoja projektu ""HK Ledus Ēnas"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,110,true,2025-12-12T13:10:48.000Z,2025-09-24T10:06:54.000Z
133,"Artūrs pārvietoja projektu ""HK Viļāni Fanu Krekli"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,218,true,2025-12-12T13:10:48.000Z,2025-09-24T11:58:04.000Z
134,"Artūrs pārvietoja projektu ""BK tactical angels JAUNAIS"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,235,true,2025-12-12T13:10:48.000Z,2025-09-24T12:08:12.000Z
135,"Artūrs pārvietoja projektu ""FDT basis"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,191,true,2025-12-12T13:10:48.000Z,2025-09-24T12:44:31.000Z
136,"Artūrs pārvietoja projektu ""Skvadroni 2"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,223,true,2025-12-12T13:10:48.000Z,2025-09-24T12:44:42.000Z
137,"Artūrs pārvietoja projektu ""BK tactical angels JAUNAIS"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,235,true,2025-12-12T13:10:48.000Z,2025-09-24T12:45:23.000Z
138,"Artūrs pārvietoja projektu ""HK Ogre Smashers - PAPILDINĀJUMS"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,217,true,2025-12-12T13:10:48.000Z,2025-09-25T16:24:59.000Z
139,"Artūrs pārvietoja projektu ""FK Rastafari Lielie + Mazie"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,227,true,2025-12-12T13:10:48.000Z,2025-09-26T11:59:41.000Z
140,"Artūrs pārvietoja projektu ""Skvadroni #3"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,240,true,2025-12-12T13:10:48.000Z,2025-09-29T06:49:27.000Z
141,"Artūrs rediģēja projektu: ""HK Vilani C Burti""",joud2zyvb3wgvxlrgahougzz,239,true,2025-12-12T13:10:48.000Z,2025-09-29T06:56:48.000Z
142,"Artūrs pārvietoja projektu ""HK Vilani C Burti"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,239,true,2025-12-12T13:10:48.000Z,2025-09-29T07:00:32.000Z
143,"Artūrs pārvietoja projektu ""BK MEH Papildinājums"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,238,true,2025-12-12T13:10:48.000Z,2025-09-29T07:53:39.000Z
144,"Artūrs pārvietoja projektu ""VK Tenapors"" no ""Darbs"" uz ""Artūrs""",joud2zyvb3wgvxlrgahougzz,175,true,2025-12-12T13:10:48.000Z,2025-09-29T09:13:46.000Z
145,"Artūrs pārvietoja projektu ""VK Tenapors"" no ""Artūrs"" uz ""Darbs""",joud2zyvb3wgvxlrgahougzz,175,true,2025-12-12T13:10:48.000Z,2025-09-29T09:26:45.000Z
146,"Toms izveidoja jaunu projektu: ""Salvis Lai līst""",joud2zyvb3wgvxlrgahougzz,244,true,2025-12-12T13:10:48.000Z,2025-09-29T10:14:21.000Z
147,"Kaspars pārvietoja projektu ""Salvis Lai līst"" no ""Darbs"" uz ""Presējam""",jbc733tyzrlm5syzjfpo4fdk,244,false,2025-09-29T14:17:28.000Z,2025-09-29T14:17:28.000Z
148,"Artūrs pārvietoja projektu ""Cesis Metric"" no ""Artūrs"" uz ""Uz druku""",njly65fq5kgs4odv4fqyvcst,245,false,2025-09-30T10:27:19.000Z,2025-09-30T10:27:19.000Z
149,"Artūrs pārvietoja projektu ""BK Plezīrs Papildinājums"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,231,true,2025-12-12T13:10:48.000Z,2025-09-30T11:17:26.000Z
150,"Artūrs pārvietoja projektu ""BK Let It Rain"" no ""Presējam"" uz ""Artūrs""",joud2zyvb3wgvxlrgahougzz,201,true,2025-12-12T13:10:48.000Z,2025-09-30T11:41:08.000Z
151,"Artūrs pārvietoja projektu ""FK Rastafari Lielie + Mazie"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,227,true,2025-12-12T13:10:48.000Z,2025-09-30T11:53:36.000Z
152,"Artūrs pārvietoja projektu ""HK Viļāni Fanu Krekli"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,218,true,2025-12-12T13:10:48.000Z,2025-09-30T11:53:38.000Z
153,"Artūrs pārvietoja projektu ""BK MEH Papildinājums"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,238,true,2025-12-12T13:10:48.000Z,2025-09-30T11:53:54.000Z
154,"Artūrs pārvietoja projektu ""HK Vilani C Burti"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,239,true,2025-12-12T13:10:48.000Z,2025-09-30T11:53:56.000Z
155,"Artūrs pārvietoja projektu ""Skvadroni #3"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,240,true,2025-12-12T13:10:48.000Z,2025-09-30T11:53:59.000Z
156,"Artūrs pārvietoja projektu ""Cesis Metric"" no ""Uz druku"" uz ""Presējam""",njly65fq5kgs4odv4fqyvcst,245,false,2025-09-30T11:54:06.000Z,2025-09-30T11:54:06.000Z
